Project,Package,Class,Method,CFG
foo,profiling.constraint.analysis,Path,checkForEnsuredUnsolvability,n0->n9:n1->n7:n2->n3:n2->n4:n3->n4:n4->n5:n4->n6:n5->n6:n6->n7:n7->n2:n7->n8:n8->n9:n9->n1:n9->n10:
foo,profiling.constraint.analysis,Path,containsNode,n0->n3:n1->n2:n1->n3:n3->n1:n3->n4:
foo,profiling.constraint.analysis,Path,checkForLinearity,n0->n3:n1->n2:n1->n3:n2->n3:n3->n1:n3->n4:
foo,profiling.constraint.analysis,Path,containsEdge,n0->n3:n1->n2:n1->n3:n3->n1:n3->n4:
foo,profiling.constraint.analysis,Path,toString,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,Path,getVetNodes,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.analysis,Path,calculateMetrics,n0->n1:n0->n2:n1->n2:n2->n3:n2->n4:n3->n4:
foo,profiling.constraint.project,Project,loadProject_jar,n0->n13:n0->n15:n1->n2:n1->n13:n1->n15:n2->n3:n2->n13:n2->n15:n3->n4:n3->n13:n3->n15:n4->n5:n4->n13:n4->n15:n5->n6:n5->n13:n5->n15:n6->n11:n6->n15:n7->n8:n7->n10:n7->n15:n8->n9:n8->n11:n8->n15:n9->n11:n9->n15:n10->n11:n10->n15:n11->n7:n11->n12:n11->n15:n12->n13:n12->n15:n13->n1:n13->n14:n13->n15:n14->n15:n14->n16:n15->n16:
foo,profiling.constraint.project,Project,getInfo,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Project,countAllMethods,n0->n2:n1->n2:n2->n1:n2->n3:
foo,profiling.constraint.project,Project,countUnsolvableConstraintSequences,n0->n7:n1->n6:n2->n5:n3->n4:n3->n5:n4->n5:n5->n3:n5->n6:n6->n2:n6->n7:n7->n1:n7->n8:
foo,profiling.constraint.project,Project,calculateMetrics,n0->n6:n1->n2:n1->n6:n2->n3:n2->n6:n3->n4:n3->n6:n4->n5:n4->n6:n5->n6:n6->n1:n6->n7:
foo,profiling.constraint.project,Project,countConstraintSequences,n0->n4:n1->n3:n2->n3:n3->n2:n3->n4:n4->n1:n4->n5:
foo,profiling.constraint.project,Project,countAnalyzedMethods,n0->n5:n1->n4:n2->n3:n2->n4:n3->n4:n4->n2:n4->n5:n5->n1:n5->n6:
foo,profiling.constraint.project,Project,countInitMethods,n0->n5:n1->n4:n2->n3:n2->n4:n3->n4:n4->n2:n4->n5:n5->n1:n5->n6:
foo,profiling.constraint.project,Project,loadFiles,n0->n22:n1->n2:n1->n3:n2->n21:n3->n4:n3->n21:n4->n5:n4->n21:n5->n6:n5->n21:n6->n7:n6->n21:n7->n8:n7->n21:n8->n9:n8->n21:n9->n10:n9->n21:n10->n11:n10->n21:n11->n12:n11->n21:n12->n13:n12->n21:n13->n14:n13->n21:n14->n19:n15->n16:n15->n18:n16->n17:n16->n19:n17->n19:n18->n19:n19->n15:n19->n20:n20->n21:n21->n22:n22->n1:n22->n23:
foo,profiling.constraint.project,Project,meanMetricToCSV,n0->n2:n1->n2:n2->n1:n2->n3:
